"RecordCategory","RecordSubCategory","StartDate","FinishDate","Details"
"Feeding","Right Breast","23-Oct-2020 18:51","23-Oct-2020 19:04",""
"Feeding","Left Breast","23-Oct-2020 17:49","23-Oct-2020 17:58",""
"Sleep","","23-Oct-2020 17:05","23-Oct-2020 17:24",""
"Feeding","Right Breast","23-Oct-2020 16:51","23-Oct-2020 16:58",""
"Feeding","Left Breast","23-Oct-2020 15:49","23-Oct-2020 16:01",""
"Sleep","","23-Oct-2020 14:33","23-Oct-2020 15:09",""
"Feeding","Right Breast","23-Oct-2020 14:15","23-Oct-2020 14:33",""
"Sleep","","23-Oct-2020 12:58","23-Oct-2020 13:55",""
"Feeding","Left Breast","23-Oct-2020 12:51","23-Oct-2020 12:58",""
"Sleep","","23-Oct-2020 11:23","23-Oct-2020 12:10",""
"Feeding","Right Breast","23-Oct-2020 11:09","23-Oct-2020 11:23",""
"Feeding","Left Breast","23-Oct-2020 10:21","23-Oct-2020 10:27",""
"Sleep","","23-Oct-2020 08:32","23-Oct-2020 10:15",""
"Feeding","Right Breast","23-Oct-2020 08:25","23-Oct-2020 08:32",""
